name,lat,lng
AMK-0287,1.374611,103.85276
AMK-0288,1.37456,103.85441
AMK-0289,1.374482,103.853976
AMK-028A,1.374498,103.853869
AMK-028B,1.375222,103.85279
AMK-028C,1.375174,103.853317
AMK-028D,1.375564,103.853572
AMK-028E,1.375215,103.853824
AMK-028F,1.37567,103.852812
AMK-0290,1.37545,103.854323
AMK-0291,1.375301,103.855227
AMK-0292,1.375262,103.855853
AMK-0293,1.374451,103.855248
AMK-0294,1.373461,103.855958
AMK-0295,1.37358,103.855876
AMK-0296,1.374837,103.856017
AMK-0297,1.374329,103.856232
AMK-0298,1.373933,103.856437
AMK-0299,1.373165,103.856394
AMK-029A,1.373775,103.857309
AMK-029B,1.373685,103.857106
AMK-029C,1.374106,103.857989
AMK-029D,1.374163,103.858119
AMK-029E,1.373243,103.857549
AMK-029F,1.37325,103.857603
AMK-02A0,1.373495,103.857989
AMK-02A1,1.373839,103.858632
AMK-02A2,1.372163,103.856791
AMK-02A3,1.372221,103.856939
AMK-02A4,1.372482,103.857215
AMK-02A5,1.372561,103.857334
AMK-02A6,1.371713,103.858094
AMK-02A7,1.371001,103.85822
AMK-02A8,1.370808,103.859575
AMK-02A9,1.370806,103.859635
AMK-02AA,1.370576,103.858215
AMK-02AB,1.370169,103.858763
AMK-02AC,1.370178,103.859279
AMK-02AD,1.369878,103.858064
AMK-02AE,1.370018,103.85955
AMK-02AF,1.369712,103.858966
AMK-02B0,1.369469,103.85832
AMK-02B1,1.369414,103.858035
AMK-02B2,1.369926,103.856501
AMK-02B3,1.369717,103.856159
AMK-02B4,1.370238,103.855364
AMK-02B5,1.370032,103.855006
AMK-02B6,1.370197,103.854392
AMK-02B7,1.370344,103.855693
AMK-02B8,1.370178,103.856266
AMK-02B9,1.370482,103.855136
AMK-02BA,1.371456,103.856209
AMK-02BB,1.371329,103.855759
AMK-02BC,1.371449,103.85465
AMK-02BD,1.371322,103.855143
AMK-02BE,1.371862,103.856145
AMK-02BF,1.371713,103.855554
AMK-02C0,1.371848,103.856049
AMK-02C1,1.371715,103.855239
AMK-02C2,1.371881,103.854673
AMK-02C3,1.371745,103.855148
AMK-02C4,1.370712,103.853596
AMK-02C5,1.370633,103.852488
AMK-02C6,1.370539,103.852119
AMK-02C7,1.370289,103.853575
AMK-02C8,1.370296,103.853358
AMK-02C9,1.370153,103.852304
AMK-02CA,1.370254,103.852692
AMK-02CB,1.371254,103.859276
AMK-02CC,1.371256,103.859493
AMK-02CD,1.381211,103.835362
AMK-02CE,1.380875,103.834886
AMK-02CF,1.381065,103.835144
AMK-02D0,1.380782,103.835474
AMK-02D1,1.379827,103.835914
AMK-02D2,1.379708,103.835758
AMK-02D3,1.380027,103.836208
AMK-02D4,1.379591,103.83636
AMK-02D5,1.379704,103.836535
AMK-02D6,1.379844,103.83672
AMK-02D7,1.379202,103.836572
AMK-02D8,1.379348,103.836763
AMK-02D9,1.38028,103.838565
AMK-02DA,1.379215,103.837735
AMK-02DB,1.379255,103.838019
AMK-02DC,1.379312,103.838456
AMK-02DD,1.379199,103.837547
AMK-02DE,1.38004,103.839381
AMK-02DF,1.379501,103.83944
AMK-02E0,1.380104,103.839057
AMK-02E1,1.378397,103.837414
AMK-02E2,1.378344,103.837342
AMK-02E3,1.378893,103.838472
AMK-02E4,1.378944,103.839022
AMK-02E5,1.378969,103.83926
AMK-02E6,1.378662,103.839242
AMK-02E7,1.377958,103.839158
AMK-02E8,1.37769,103.839067
AMK-02E9,1.377753,103.837983
AMK-02EA,1.377757,103.838072
AMK-02EB,1.378169,103.838488
AMK-02EC,1.378582,103.838449
AMK-02ED,1.382514,103.839682
AMK-02EE,1.382959,103.840515
AMK-02EF,1.381998,103.839622
AMK-02F0,1.382121,103.83987
AMK-02F1,1.382776,103.841066
AMK-02F2,1.381436,103.839731
AMK-02F3,1.381053,103.839877
AMK-02F4,1.381745,103.841152
AMK-02F5,1.381148,103.841973
AMK-02F6,1.381565,103.843029
AMK-02F7,1.381607,103.843515
AMK-02F8,1.380798,103.842678
AMK-02F9,1.38078,103.842426
AMK-02FA,1.381184,103.843551
AMK-02FB,1.380288,103.841965
AMK-02FC,1.380492,103.843812
AMK-02FD,1.379935,103.842569
AMK-02FE,1.379864,103.842183
AMK-02FF,1.380032,103.843452
AMK-0300,1.380048,103.84367
AMK-0301,1.378199,103.840365
AMK-0302,1.378784,103.840312
AMK-0303,1.378595,103.840348
AMK-0304,1.378552,103.840325
AMK-0305,1.37792,103.840286
AMK-0306,1.377963,103.840699
